,userId,title,rating,user,movie
0,1,"13th Warrior, The (1999)",4.0,0,32
1,1,20 Dates (1998),4.0,0,42
2,1,"Abyss, The (1989)",4.0,0,134
3,1,"Adventures of Robin Hood, The (1938)",5.0,0,169
4,1,Alice in Wonderland (1951),5.0,0,216
5,1,Alien (1979),4.0,0,218
6,1,All Quiet on the Western Front (1930),5.0,0,233
7,1,American Beauty (1999),5.0,0,268
8,1,American History X (1998),5.0,0,276
9,1,"American Tail, An (1986)",5.0,0,293
10,1,Apocalypse Now (1979),4.0,0,366
11,1,Austin Powers: International Man of Mystery (1997),5.0,0,430
12,1,Back to the Future (1985),5.0,0,484
13,1,Back to the Future Part III (1990),4.0,0,486
14,1,Bambi (1942),5.0,0,514
15,1,Basic Instinct (1992),5.0,0,542
16,1,Batman (1989),4.0,0,547
17,1,Batman Returns (1992),3.0,0,551
18,1,Bedknobs and Broomsticks (1971),5.0,0,593
19,1,Beetlejuice (1988),4.0,0,600
20,1,Being John Malkovich (1999),4.0,0,611
21,1,Best Men (1997),4.0,0,631
22,1,Big (1988),4.0,0,656
23,1,"Big Lebowski, The (1998)",5.0,0,674
24,1,Big Trouble in Little China (1986),4.0,0,685
25,1,Billy Madison (1995),5.0,0,701
26,1,"Black Cauldron, The (1985)",5.0,0,716
27,1,Blazing Saddles (1974),5.0,0,745
28,1,Blown Away (1994),3.0,0,770
29,1,"Blues Brothers, The (1980)",5.0,0,788
30,1,Bottle Rocket (1996),5.0,0,827
31,1,Braveheart (1995),4.0,0,861
32,1,Canadian Bacon (1995),5.0,0,980
33,1,Charlotte's Web (1973),5.0,0,1082
34,1,Citizen Kane (1941),5.0,0,1150
35,1,Clear and Present Danger (1994),4.0,0,1176
36,1,Clerks (1994),3.0,0,1177
37,1,"Clockwork Orange, A (1971)",5.0,0,1186
38,1,Con Air (1997),4.0,0,1230
39,1,Conan the Barbarian (1982),5.0,0,1231
40,1,Crocodile Dundee (1986),5.0,0,1317
41,1,Dances with Wolves (1990),4.0,0,1374
42,1,Dazed and Confused (1993),4.0,0,1427
43,1,Desperado (1995),5.0,0,1506
44,1,Dick Tracy (1990),4.0,0,1538
45,1,"Dirty Dozen, The (1967)",5.0,0,1555
46,1,Dogma (1999),5.0,0,1600
47,1,Dr. No (1962),5.0,0,1639
48,1,Dracula (1931),4.0,0,1644
49,1,Duck Soup (1933),5.0,0,1685
50,1,Dumb & Dumber (Dumb and Dumber) (1994),5.0,0,1693
51,1,Dumbo (1941),5.0,0,1696
52,1,E.T. the Extra-Terrestrial (1982),5.0,0,1706
53,1,Easy Rider (1969),4.0,0,1719
54,1,Ed Wood (1994),4.0,0,1722
55,1,Edward Scissorhands (1990),5.0,0,1736
56,1,Encino Man (1992),3.0,0,1772
57,1,Enemy of the State (1998),5.0,0,1782
58,1,Escape to Witch Mountain (1975),3.0,0,1817
59,1,Excalibur (1981),5.0,0,1851
60,1,Face/Off (1997),5.0,0,1879
61,1,Fantasia (1940),5.0,0,1903
62,1,Fargo (1996),5.0,0,1917
63,1,"Few Good Men, A (1992)",4.0,0,1954
64,1,Fight Club (1999),5.0,0,1962
65,1,Flight of the Navigator (1986),4.0,0,2023
66,1,Forrest Gump (1994),4.0,0,2074
67,1,Frankenstein (1931),4.0,0,2093
68,1,From Dusk Till Dawn (1996),3.0,0,2138
69,1,From Russia with Love (1963),5.0,0,2143
70,1,"Fugitive, The (1993)",5.0,0,2155
71,1,Full Metal Jacket (1987),5.0,0,2157
72,1,"Game, The (1997)",5.0,0,2191
73,1,"Ghost and Mrs. Muir, The (1947)",4.0,0,2251
74,1,"Ghost and the Darkness, The (1996)",5.0,0,2252
75,1,Ghostbusters (a.k.a. Ghost Busters) (1984),5.0,0,2257
